 target objtype jd band frameid radius flux fluxerr PSmag instmag instmagerr elapsed_min
0 85952637084765674 ref 2460872.0262844786 g gri1 5 24216.01200683594 142.45570435131694 16.81920051574707 -10.96025655820352 0.006387068017016319 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 6 27806.13973144531 163.99322521575905 16.81920051574707 -11.110351752122767 0.006403383701278284 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 7 30099.210629882815 184.48257719980825 16.81920051574707 -11.196387765265229 0.006654640072655562 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 8 31525.40420898437 204.5597377466205 16.81920051574707 -11.246651659175926 0.007045045698225772 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 9 32475.742397460934 224.68120299601463 16.81920051574707 -11.278897719642522 0.007511591686983458 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 10 33114.293354492205 244.89681771078568 16.81920051574707 -11.300038729536903 0.008029564109136621 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 11 33651.47679687499 265.3524981520871 16.81920051574707 -11.317510320037458 0.008561372090911921 0.003470778465270996
0 85952637084765674 ref 2460872.0262844786 g gri1 12 34101.068232421894 286.14637184595836 16.81920051574707 -11.33191995922463 0.009110549665360866 0.003470778465270996
0 85952637084765674 ref 2460872.0262820683 r gri1 5 48928.46906250001 182.08108636461603 15.733200073242188 -11.723904068006526 0.0040404294566263365 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 6 55552.96343750002 206.8289567794303 15.733200073242188 -11.861768077644326 0.004042298964310437 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 7 59863.750932617186 230.2131756425348 15.733200073242188 -11.942909813264336 0.004175327735289887 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 8 62580.777680664054 253.0533202682056 15.733200073242188 -11.991102389368141 0.004390312197004477 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 9 64360.73777343751 275.91290864905125 15.733200073242188 -12.021552534539214 0.004654524554005861 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 10 65658.27014160155 298.9978622812595 15.733200073242188 -12.043223591130523 0.00494427896933518 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 11 66701.11939941406 322.41750095343957 15.733200073242188 -12.060332806114806 0.005248193088583506 0.0
0 85952637084765674 ref 2460872.0262820683 r gri1 12 67499.79832031252 345.97236074492145 15.733200073242188 -12.073256188058812 0.005564975411094862 0.0
0 85952637084765674 ref 2460872.026283284 i gri1 5 68965.57092041017 195.5365700128811 15.149299621582031 -12.09658083949061 0.0030783640385173383 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 6 77636.14151123048 218.6912547259158 15.149299621582031 -12.225159857426382 0.003058382453042982 0.0017508119344711304
0 85952637084765674 ref 2460872.026283284 i gri1 7 83242.3350488281 240.0088478653017 15.149299621582031 -12.300860635498347 0.0031304539383330593 0.0017508119344711304
