 target objtype jd band frameid radius flux fluxerr PSmag instmag instmagerr elapsed_min
0 87412636249073504 ref 2460872.0424230476 g gri1 5 24362.881767578136 176.43306012594027 17.135499954223633 -10.966821643988233 0.007862771035154262 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 6 26706.692998046874 204.9835535593471 17.135499954223633 -11.066550285233426 0.008333419098187727 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 7 28056.27228515626 233.3762366951784 17.135499954223633 -11.12007491926722 0.009031314885128785 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 8 28773.94044433594 261.84838534300394 17.135499954223633 -11.147498350941333 0.00988040802664275 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 9 28950.636928710934 290.32785665200043 17.135499954223633 -11.154145307169145 0.010888170301507105 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 10 29162.031176757817 319.1134907694254 17.135499954223633 -11.162044424812391 0.01188096495251174 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 11 29285.367812500004 348.1379495681629 17.135499954223633 -11.166626707407811 0.012906990908103837 2.8739581257104874
0 87412636249073504 ref 2460872.0424230476 g gri1 12 29249.962075195308 377.33044565055144 17.135499954223633 -11.165313268306686 0.01400621733960275 2.8739581257104874
0 87412636249073504 ref 2460872.042420526 r gri1 5 19216.26377929687 175.37531137907808 16.895999908447266 -10.709172379017133 0.00990886299084528 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 6 20702.74895507813 205.02346852910543 16.895999908447266 -10.790070039579076 0.010752263049228414 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 7 21487.925517578133 234.58802062027468 16.895999908447266 -10.830486224890056 0.011853201323767697 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 8 21875.0338671875 264.21775140337735 16.895999908447266 -10.84987183518688 0.013114072434362507 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 9 21979.9094580078 294.0432341015768 16.895999908447266 -10.855064747747276 0.01452478162561041 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 10 22002.126162109376 324.07468385377643 16.895999908447266 -10.856161626584509 0.01599207343477284 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 11 21782.929345703124 354.25524748159404 16.895999908447266 -10.845290707044413 0.01765730135796401 2.8703270852565765
0 87412636249073504 ref 2460872.042420526 r gri1 12 21546.9468701172 384.5663205269363 16.895999908447266 -10.83346435197296 0.01937803902537042 2.8703270852565765
0 87412636249073504 ref 2460872.042421835 i gri1 5 15282.596018066404 137.77747905348795 16.796899795532227 -10.460492832680048 0.009788258292755894 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 6 16371.074759521485 159.51508630595404 16.796899795532227 -10.535192979349613 0.010579104118180343 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 7 16824.844636230468 181.10360427210358 16.796899795532227 -10.56487765639467 0.011686927530194784 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 8 16970.931553955084 202.92922942882214 16.796899795532227 -10.574264204739162 0.012982646868503433 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 9 16945.924710693358 225.0084323190238 16.796899795532227 -10.572663181353978 0.014416433774810368 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 10 16792.607176513677 247.20208036499986 16.796899795532227 -10.562795322011453 0.01598300047887686 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 11 16724.332464599607 269.7710633690468 16.796899795532227 -10.558371980864008 0.017513417119389103 2.8722120076417923
0 87412636249073504 ref 2460872.042421835 i gri1 12 16709.619105224603 292.44148883579555 16.796899795532227 -10.55741637572323 0.019001888086312882 2.8722120076417923
0 87412636249073504 ref 2460872.064877849 g gri2 5 22052.30325683594 183.12229872709932 17.135499954223633 -10.858634890348034 0.009015952089490367 35.20887225866318
0 87412636249073504 ref 2460872.064877849 g gri2 6 24476.922016601562 214.13666544911152 17.135499954223633 -10.971892010476054 0.009498577079527745 35.20887225866318
0 87412636249073504 ref 2460872.064877849 g gri2 7 25913.993559570317 244.76803438342284 17.135499954223633 -11.033835866238828 0.01025521273232775 35.20887225866318
0 87412636249073504 ref 2460872.064877849 g gri2 8 26682.86915527344 275.3861172710273 17.135499954223633 -11.065581316419703 0.011205566990153697 35.20887225866318
0 87412636249073504 ref 2460872.064877849 g gri2 9 27094.1819140625 306.25107900864873 17.135499954223633 -11.082190105978317 0.012272298358392329 35.20887225866318
0 87412636249073504 ref 2460872.064877849 g gri2 10 27130.98008300781 337.227512871986 17.135499954223633 -11.08366370638648 0.01349527804913202 35.20887225866318
