radius g_r g_rerr r_i r_ierr r_z r_zerr obj
5 0.5676516476674038 0.006722244234003937 0.17546639164164013 0.009909420695377591 0.16745059982246602 0.007591324820879208 Popescu
6 0.5567814369727788 0.008296492254425634 0.16946439987341222 0.009215250203542524 0.15149071896500566 0.007342348618058381 Popescu
7 0.5465539480862862 0.010151668921941037 0.16689022243571117 0.007664540113523799 0.14326193497064565 0.005222347247983095 Popescu
8 0.5431009683195871 0.010846167930149633 0.16704724255678727 0.011752958130966107 0.13992595872256253 0.00024721673512395625 Popescu
9 0.5419061361377402 0.014552740551770386 0.17212941788678293 0.014033976382382463 0.13611623354475455 0.0005101448768130012 Popescu
10 0.5434450069085948 0.015990017244423248 0.17524397310710604 0.013561093472555186 0.1398735808228988 0.000369497320443557 Popescu
11 0.5470769387835102 0.01756035982993559 0.18112135678845753 0.011080251973700328 0.15456646181087308 0.006439395538247794 Popescu
12 0.5534926388954311 0.02294228673894607 0.18861666972678126 0.006234490052889008 0.17546797546828508 0.022262986934238782 Popescu
