radius g_r g_rerr r_i r_ierr r_z r_zerr obj
5 0.6150111160710594 0.029579083301598887 0.22242107860617644 0.029807318424477904 0.3451723433145055 0.02887617984790089 3I
6 0.6011256333759452 0.03145327016930623 0.2099990052161207 0.03114737658124959 0.32522432650968724 0.03614451645240604 3I
7 0.5893877944122146 0.03199440714173614 0.2007992860903478 0.032242302462299095 0.30494094677717065 0.0429065128923455 3I
8 0.5807123819663165 0.03209750051406755 0.20137386907053845 0.03619379190381667 0.2803179288038091 0.051305581415731286 3I
9 0.5783522914257517 0.03371417092764466 0.19865680434569732 0.04376949143871235 0.2606499535129849 0.06275847639999751 3I
10 0.5741723298556796 0.03748586881010152 0.196374011565279 0.04718599573735997 0.253558631881992 0.08081438584146454 3I
11 0.571012421822017 0.03895792953194079 0.19223876522172922 0.05595855548324101 0.250712631374741 0.09871460986909497 3I
12 0.5690948448329873 0.041040005978800545 0.19317267647489622 0.06562080763391667 0.24597352147563178 0.12893392441563897 3I
